geometry_id,n_runs,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,detect_threshold_GeV,detection_efficiency,detection_efficiency_std,eff_lo,eff_lo_std,eff_hi,eff_hi_std,energy_resolution,energy_resolution_std
05e49f88,3,10,3,3,4,4.4183,4.2033,3.905,0.311,0.5625,0.5886,0.1,5.0,,0.631,0.0,0.008852116404815646,0.0,0.008764812172892933,0.0,0.3584088823722474,0.009824757707366433
10c93ab7,3,10,3,3,4,3.9511,4.4481,4.2353,0.3769,0.5848,0.5401,0.1,5.0,,0.6935555555555556,0.01956281430939079,0.00847441436401116,0.00013978712472716308,0.008345420324987122,0.00015282090591800404,0.3507620825177624,0.0056019876094372
17023b24,3,10,3,3,4,4.0124,4.4717,3.5683,0.3493,0.3701,0.4972,0.1,5.0,,0.6777777777777777,0.0028349668493717604,0.008590098900526458,1.8746148195295035e-05,0.008471619875016398,2.0635470322263806e-05,0.36098081570170865,0.016714340092616718
1cebb154,3,10,3,3,4,3.6162,3.5593,4.3525,0.5885,0.4457,0.5036,0.1,5.0,,0.6913333333333332,0.0020816659994661348,0.008496416419128202,1.5083217496940733e-05,0.008368903367923064,1.647052825192841e-05,0.37832415217086773,0.017689440283956536
1e9f8f28,3,10,3,3,4,3.6451,4.2735,4.2115,0.571,0.4157,0.4467,0.1,5.0,,0.7093333333333334,0.008660254037844395,0.008357588027798993,7.103947512577158e-05,0.008218078975260982,7.681105395814948e-05,0.393740660064445,0.0134070436775743
1ef4ea56,3,10,3,3,4,4.0064,3.9147,3.9397,0.5768,0.326,0.5178,0.1,5.0,,0.6956666666666668,0.004041451884327384,0.008464483875747497,3.0236398861714517e-05,0.008334082898295478,3.2929802316772924e-05,0.37142990716644014,0.013964094097866376
22bdee14,3,10,3,3,4,3.5604,3.6574,4.154,0.4435,0.4589,0.3065,0.1,5.0,,0.6862222222222222,0.008858977451234464,0.008531619361738777,6.090949639884648e-05,0.008407512582517004,6.681350350583282e-05,0.38685668308586246,0.00822819499051988
2601af3d,3,10,3,3,4,4.3242,4.0109,4.2145,0.55,0.5225,0.3138,0.1,5.0,,0.6885555555555555,0.0028349668493717756,0.008516251380464301,2.0027857205581304e-05,0.008390589564032788,2.1917199035052647e-05,0.382116635806566,0.011116872817580956
26797700,3,10,3,3,4,3.7158,3.905,4.0052,0.5627,0.4442,0.5707,0.1,5.0,,0.7041111111111111,0.002219442706159784,0.008400264448606346,1.7329817099595033e-05,0.008264235717442689,1.8808945890959502e-05,0.3553830925901737,0.007723992806355448
291aab45,3,10,3,3,4,4.194,3.7155,4.0528,0.4393,0.3102,0.4725,0.1,5.0,,0.7323333333333334,0.012013880860626743,0.00815725112271685,0.0001114259584854544,0.008002413846253442,0.0001194311293171971,0.38284179748643266,0.014927434501154531
2b9e6f9c,3,10,3,3,4,3.8019,4.3059,4.1228,0.3947,0.4613,0.3984,0.1,5.0,,0.6951111111111111,0.006194382162118411,0.008468261848334416,4.535637231749985e-05,0.008338231117837122,4.948455942533307e-05,0.3863170331685142,0.007340070248633565
2d0394ed,3,10,3,3,4,4.0361,3.6643,3.7981,0.3912,0.5732,0.3963,0.1,5.0,,0.6753333333333332,0.002027587510099375,0.008606178689321823,1.3127482543617382e-05,0.008489328750412639,1.447875653519769e-05,0.36137032758489984,0.004127843073164586
333b8387,3,10,3,3,4,3.6014,3.6079,4.4263,0.5781,0.3684,0.4745,0.1,5.0,,0.7105555555555556,0.012527007860056843,0.008346323514583606,0.00010419454778161674,0.00820599991874523,0.00011254305926512259,0.3845458593117992,0.005674631326681205
34869d09,3,10,3,3,4,3.7114,3.545,4.2431,0.3983,0.3036,0.4527,0.1,5.0,,0.7215555555555556,0.006406015691288722,0.008255688889560445,5.539216883722371e-05,0.008108034404018638,5.966123469565899e-05,0.3670490184700312,0.011141820726320287
39f9bb2c,3,10,3,3,4,4.0492,3.6331,4.3353,0.4044,0.5206,0.3695,0.1,5.0,,0.7033333333333333,0.004041451884327384,0.00840615496535857,3.170809936220838e-05,0.008270644579931541,3.4401502817394985e-05,0.39403911152946325,0.03425498557341819
3d0a7e8a,3,10,3,3,4,4.3965,4.3491,3.6376,0.3278,0.5485,0.3934,0.1,5.0,,0.6813333333333333,0.007094598884597534,0.008565680574542212,4.833597044607963e-05,0.00844483196852197,5.306381905508514e-05,0.3713185582482772,0.01157083671142161
3d5bc8b6,3,10,3,3,4,4.3708,4.4751,4.476,0.3177,0.3515,0.3678,0.1,5.0,,0.677,0.01156623438193169,0.008593365846293518,7.436457925446924e-05,0.008475405166520159,8.207277718242376e-05,0.3635875999995803,0.005229953979589237
459dc851,3,10,3,3,4,3.5275,3.5489,4.2932,0.483,0.4354,0.4471,0.1,5.0,,0.7166666666666667,0.002027587510099375,0.008298176409560432,1.7171710093117823e-05,0.008153780097220157,1.852298423092879e-05,0.3759446546891119,0.010965081146017517
480b69f7,3,10,3,3,4,3.8405,4.2115,4.1487,0.4615,0.3614,0.4485,0.1,5.0,,0.7243333333333334,0.0063333333333333575,0.008231372377217716,5.5918830931470625e-05,0.008081866656902284,6.013942625010271e-05,0.3758502049129131,0.014283180530109702
55595ea2,3,10,3,3,4,3.7836,3.885,3.8866,0.3113,0.5657,0.3604,0.1,5.0,,0.6535555555555556,0.005600925849390472,0.008736980204215502,3.132726927497651e-05,0.008634643945931275,3.5059798587070994e-05,0.38437042523735815,0.013172825446886987
592c849f,3,10,3,3,4,3.9364,3.7426,4.4519,0.3616,0.5378,0.4287,0.1,5.0,,0.7228888888888889,0.002268953095184663,0.00824466658346612,1.9803318962753846e-05,0.008096123505232885,2.131544640114286e-05,0.37863829901440615,0.002233495947083646
77a08e81,3,10,3,3,4,4.123,4.199,3.51,0.4578,0.309,0.423,0.1,5.0,,0.7085555555555555,0.0038920621973637473,0.008364836492457747,3.11935623277113e-05,0.008225845785656364,3.378736405555746e-05,0.37831265465065966,0.00948148515785887
7e6d18e1,3,10,3,3,4,4.3367,4.4554,4.4886,0.5667,0.4664,0.4721,0.1,5.0,,0.7083333333333334,0.01252996408614168,0.00836432043755649,0.00010114789226139797,0.00822547782953694,0.00010949666687994764,0.3765936051387659,0.026382219370913833
8497a2ba,3,10,3,3,4,4.0751,4.1755,3.8402,0.4036,0.4854,0.5385,0.1,5.0,,0.6886666666666666,0.00917121099479839,0.008514296409263933,6.526331315804064e-05,0.008388560543441429,7.137460674783295e-05,0.3525845106867842,0.018743960533671694
8ed50f06,3,10,3,3,4,3.6626,4.0778,4.2989,0.5013,0.3423,0.4201,0.1,5.0,,0.6962222222222222,0.00450102868900647,0.008460289593120765,3.352995400065912e-05,0.008329518368714095,3.652954814361925e-05,0.3868631145199874,0.004933138148540114
962302af,3,10,3,3,4,4.4523,4.1405,4.0597,0.3345,0.5451,0.4907,0.1,5.0,,0.6707777777777778,0.00813997906995219,0.00863442092740089,5.0661682661344894e-05,0.008520607013520346,5.6086217005513864e-05,0.3630428046353476,0.010425303890304405
9a62766b,3,10,3,3,4,3.7818,3.6521,3.5054,0.3334,0.4525,0.3158,0.1,5.0,,0.6702222222222223,0.012950046474963072,0.008636434996340037,8.005118399158791e-05,0.008522991329414142,8.867987417543832e-05,0.39338615816302847,0.016310194140725532
9ad7ca57,3,10,3,3,4,4.1685,3.8945,4.1075,0.3844,0.3587,0.4969,0.1,5.0,,0.6702222222222223,0.006842135252595893,0.00863819774477407,4.256091021533774e-05,0.008524754077848251,4.712057210020075e-05,0.35304246149031826,0.013404918211224704
a7116e13,3,10,3,3,4,3.9317,4.4691,3.9552,0.3784,0.4406,0.4779,0.1,5.0,,0.6957777777777778,0.008030036206735385,0.008462902858879184,6.051935414885665e-05,0.008332427832036323,6.587087969761502e-05,0.3537307271321306,0.004170673688268317
adc9fd26,3,10,3,3,4,4.377,4.0142,3.7604,0.37,0.4705,0.5713,0.1,5.0,,0.7045555555555555,0.012937170106726245,0.008394171741516762,0.0001024681320918628,0.008257846812789368,0.00011108827804789537,0.3653126073553741,0.012747119960405302
ae71fbd0,3,10,3,3,4,3.9637,4.043,3.6962,0.5174,0.5827,0.3871,0.1,5.0,,0.6973333333333334,0.0039299420408505465,0.008452054088906,2.9624940709196144e-05,0.008320542370589953,3.2243991781638846e-05,0.3673198437318827,0.0058703828370126115
b186a1fe,3,10,3,3,4,3.5534,3.6266,4.3297,0.3863,0.579,0.4793,0.1,5.0,,0.6838888888888889,0.0033554819712314646,0.008548824276557343,2.304950422444738e-05,0.008426272534545457,2.5285709818357283e-05,0.360141908637529,0.005541086083121472
c1bba4df,3,10,3,3,4,4.4451,4.1104,4.467,0.5507,0.3448,0.4136,0.1,5.0,,0.6956666666666665,0.007549834435270757,0.008463850765741706,5.58229169298961e-05,0.008333449788289834,6.0854073171049003e-05,0.3960791482630006,0.0081319911062168
cb378c36,3,10,3,3,4,3.8724,3.9697,4.115,0.5868,0.3181,0.3453,0.1,5.0,,0.674111111111111,0.009100264546419237,0.008612929322337148,5.8218730373632624e-05,0.00849689392672833,6.428281153595263e-05,0.4080099420548362,0.011589423796651302
d53854cc,3,10,3,3,4,4.1191,4.3773,4.4058,0.5944,0.5605,0.5751,0.1,5.0,,0.6757777777777778,0.019906261810276195,0.00859742134325662,0.0001342033991817875,0.008480275206783627,0.00014746719729730217,0.3512553618267192,0.00601760053583549
d6202599,3,10,3,3,4,3.6436,4.114,4.2203,0.5653,0.3205,0.563,0.1,5.0,,0.6841111111111111,0.0030245905752924944,0.008547325125202213,2.0896598589447867e-05,0.008424625284408349,2.2912294351090486e-05,0.3657429686752562,0.0054637928232890145
dda378bf,3,10,3,3,4,4.2293,4.1557,3.6799,0.4006,0.3058,0.4012,0.1,5.0,,0.6946666666666667,0.00835330939076114,0.00847105525168638,6.185909126696419e-05,0.008341320718752968,6.742554289138194e-05,0.3925709877227901,0.02450640823905535
e09be8a8,3,10,3,3,4,4.1177,4.4687,3.5207,0.4149,0.3055,0.5081,0.1,5.0,,0.7067777777777778,0.005541092284351867,0.008378805328055757,4.423957459190903e-05,0.008240999411509464,4.793226567110185e-05,0.39024058067104744,0.009450171544489436
ecd57ace,3,10,3,3,4,4.3268,3.877,4.0202,0.5901,0.4857,0.3213,0.1,5.0,,0.6792222222222222,0.004764840364975887,0.008580287321821367,3.1631142132620576e-05,0.00846084565422911,3.480656014055128e-05,0.3813148653101619,0.01856101338789511
fe3add39,3,10,3,3,4,4.0136,4.1314,3.9791,0.4053,0.5255,0.513,0.1,5.0,,0.680888888888889,0.006702680503046966,0.008568765973430889,4.563179680689272e-05,0.008448213564974457,5.0098579539540734e-05,0.34149527496929516,0.0035649851211491004
